date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:15	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2005%20Apr%202022%2012:29:03%20GMT	https://www.cesxcstudio.com/robots.txt		(from )
15:29:15	32236/32236	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2012:29:04%20GMT	https://www.cesxcstudio.com/	C:/Benim%20Web%20Sitem/deneme/www.cesxcstudio.com/index.html	(from )
15:29:16	84762/84762	---M-Z	200	added ('OK')	text/css	etag:%222379730c819c8b8201f3e7aea63acef9%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/css/cesxc-55efbd.webflow.99cf77723.css	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/css/cesxc-55efbd.webflow.99cf77723.css	(from https://www.cesxcstudio.com/)
15:29:16	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Benim%20Web%20Sitem/deneme/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.cesxcstudio.com/)
15:29:16	539/539	---M--	200	added ('OK')	image/png	etag:%22eb1dab104c9ce48458bc659d9f2d31c1%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd21701381eb131fad_Frame%206.png	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd21701381eb131fad_Frame%206.png	(from https://www.cesxcstudio.com/)
15:29:16	3616/3616	---M--	200	added ('OK')	image/png	etag:%2266a8844e4f8832993b4cec677b9fab74%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170133c00131fae_Frame%207.png	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170133c00131fae_Frame%207.png	(from https://www.cesxcstudio.com/)
15:29:17	163791/163791	---M--	200	added ('OK')	image/jpeg	etag:%2212cb2990022bf457d20237be972101c2%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170137440131fa2_ezhel_optimized.jpg	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170137440131fa2_ezhel_optimized.jpg	(from https://www.cesxcstudio.com/)
15:29:18	2484925/2484925	---M--	200	added ('OK')	image/gif	etag:%22901989805877cdae941e409116c3242c%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd217013476e131fa0_gif.gif	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd217013476e131fa0_gif.gif	(from https://www.cesxcstudio.com/)
15:29:18	241498/241498	---M--	200	added ('OK')	image/jpeg	etag:%22dfb1acbe64f03795907a8e1744260140%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd217013b14f131fa3_ben-fero-1_optimized.jpg	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd217013b14f131fa3_ben-fero-1_optimized.jpg	(from https://www.cesxcstudio.com/)
15:29:18	1840611/1840611	---M--	200	added ('OK')	image/jpeg	etag:%22aed419e1b1e434efb27ce16c5a5593cf%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd217013bf62131f7c_1_M.jpg	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd217013bf62131f7c_1_M.jpg	(from https://www.cesxcstudio.com/)
15:29:18	192459/192459	---M--	200	added ('OK')	image/jpeg	etag:%220ddbbe7603534ce727718f977d40a03a%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170135e3d131fa7_bege_optimized.jpg	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170135e3d131fa7_bege_optimized.jpg	(from https://www.cesxcstudio.com/)
15:29:19	1348165/1348165	---M--	200	added ('OK')	image/jpeg	etag:%2281677a9f7092a8e2fdf2bbea64dd9ecb%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170130cce131fa5_mero_optimized.jpg	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170130cce131fa5_mero_optimized.jpg	(from https://www.cesxcstudio.com/)
15:29:19	2294327/2294327	---M--	200	added ('OK')	image/jpeg	etag:%22359df22ec89edfaa0877f19ae223a019%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170137666131f87_1.jpg	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd2170137666131f87_1.jpg	(from https://www.cesxcstudio.com/)
15:29:20	960326/960326	---M--	200	added ('OK')	image/jpeg	etag:%22aacd6d9f0abbfdc676655af365bfa53c%22	https://uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd21701310b0131fa4_elanur_optimized.jpg	C:/Benim%20Web%20Sitem/deneme/uploads-ssl.webflow.com/604e45bd21701352c1131f56/604e45bd21701310b0131fa4_elanur_optimized.jpg	(from https://www.cesxcstudio.com/)
